Cloudflare IP Optimizer — 完整测试结果
测试时间: 2026-06-18 10:05:16
成功: 2546 / 失败: 5584 / 总计: 8130

======================================================================
IP                                               延迟   Colo   Loc     状态码
185.18.250.161                               247.5ms    ORD    US     200
104.16.14.3                                  248.2ms    ORD    US     200
172.64.32.233                                250.8ms    ORD    US     200
104.16.22.176                                251.1ms    ORD    US     200
164.38.155.139                               251.4ms    ORD    US     200
104.16.36.40                                 251.6ms    ORD    US     200
104.16.3.36                                  251.7ms    DFW    US     200
198.41.223.196                               251.9ms    ORD    US     200
162.251.82.62                                252.8ms    ORD    US     200
104.16.47.106                                253.0ms    ORD    US     200
104.16.72.126                                253.1ms    ORD    US     200
162.159.194.230                              253.1ms    ORD    US     200
104.16.8.65                                  253.7ms    ORD    US     200
66.81.247.154                                254.0ms    ORD    US     200
104.16.10.10                                 254.4ms    ORD    US     200
104.16.26.144                                255.0ms    DFW    US     200
104.16.11.242                                255.5ms    DFW    US     200
104.19.5.18                                  256.4ms    DFW    US     200
104.16.28.234                                258.8ms    ORD    US     200
104.16.17.200                                260.0ms    ORD    US     200
104.16.68.212                                260.2ms    ORD    US     200
104.24.135.132                               260.8ms    ORD    US     200
104.16.9.14                                  261.0ms    DFW    US     200
162.159.134.70                               261.1ms    ORD    US     200
176.124.223.135                              261.6ms    ORD    US     200
162.159.192.49                               261.8ms    ORD    US     200
205.233.181.148                              261.9ms    ORD    US     200
104.16.71.198                                262.1ms    ORD    US     200
104.27.192.224                               262.1ms    ORD    US     200
172.64.35.21                                 262.1ms    ORD    US     200
104.25.221.52                                262.9ms    DFW    US     200
170.114.45.38                                263.0ms    DFW    US     200
104.24.133.172                               263.1ms    DFW    US     200
104.16.29.141                                263.3ms    ORD    US     200
31.12.75.5                                   264.1ms    DFW    US     200
104.24.130.93                                265.3ms    ORD    US     200
104.16.6.24                                  265.7ms    ORD    US     200
104.16.19.240                                265.7ms    ORD    US     200
190.93.247.207                               265.9ms    DFW    US     200
104.18.254.80                                266.9ms    ORD    US     200
181.214.1.179                                266.9ms    ORD    US     200
162.159.20.49                                267.0ms    ORD    US     200
104.19.7.110                                 268.4ms    ORD    US     200
154.197.80.114                               269.3ms    IAD    US     200
104.16.48.137                                270.0ms    ORD    US     200
209.46.30.175                                270.7ms    ORD    US     200
66.235.200.27                                271.7ms    ORD    US     200
162.159.159.7                                272.8ms    ORD    US     200
172.67.177.139                               273.2ms    DFW    US     200
104.16.160.115                               273.5ms    DFW    US     200
162.159.14.60                                274.0ms    ORD    US     200
104.27.194.224                               274.8ms    ORD    US     200
104.21.235.116                               275.3ms    DFW    US     200
172.67.70.230                                275.5ms    ORD    US     200
172.67.79.239                                276.1ms    ORD    US     200
172.67.66.6                                  276.3ms    ORD    US     200
104.16.49.140                                277.5ms    DFW    US     200
104.16.141.179                               277.5ms    DFW    US     200
172.64.38.54                                 277.5ms    ORD    US     200
167.68.42.240                                277.8ms    ORD    US     200
45.131.210.247                               277.9ms    ORD    US     200
198.41.217.89                                278.0ms    ORD    US     200
104.27.201.45                                278.2ms    DFW    US     200
104.16.12.30                                 278.9ms    DFW    US     200
167.68.5.223                                 279.0ms    DFW    US     200
162.159.22.23                                280.2ms    DFW    US     200
104.21.234.233                               280.8ms    DFW    US     200
104.27.199.194                               280.9ms    DFW    US     200
104.16.90.175                                282.2ms    DFW    US     200
198.41.211.204                               282.8ms    ORD    US     200
104.24.136.163                               283.3ms    DFW    US     200
162.159.16.170                               284.3ms    DFW    US     200
198.41.197.111                               284.4ms    ORD    US     200
198.41.205.50                                284.4ms    ORD    US     200
104.16.37.138                                284.8ms    DFW    US     200
104.27.7.64                                  285.6ms    DFW    US     200
104.27.193.132                               285.7ms    ORD    US     200
104.27.203.210                               286.6ms    ORD    US     200
162.159.247.62                               286.9ms    DFW    US     200
104.27.196.48                                287.0ms    DFW    US     200
172.67.255.142                               287.9ms    DFW    US     200
162.159.198.76                               288.0ms    ORD    US     200
103.21.244.40                                288.2ms    IAD    US     200
172.64.42.205                                288.4ms    ORD    US     200
104.27.198.96                                289.0ms    DFW    US     200
104.16.39.212                                289.1ms    ORD    US     200
104.16.41.74                                 289.2ms    ORD    US     200
172.64.100.7                                 289.3ms    ORD    US     200
198.41.222.14                                289.6ms    ORD    US     200
45.8.211.245                                 290.2ms    ORD    US     200
104.27.200.49                                290.3ms    ORD    US     200
172.66.41.199                                290.3ms    ORD    US     200
104.24.137.216                               290.7ms    ORD    US     200
104.21.238.7                                 291.0ms    DFW    US     200
198.41.215.136                               292.5ms    ORD    US     200
104.19.16.177                                295.2ms    ORD    US     200
194.36.55.92                                 296.1ms    ORD    US     200
185.159.247.114                              297.3ms    ORD    US     200
172.64.40.181                                297.5ms    ORD    US     200
172.65.32.149                                298.0ms    ORD    US     200
172.66.3.95                                  298.0ms    ORD    US     200
162.159.17.202                               299.0ms    ORD    US     200
198.41.193.112                               299.3ms    DFW    US     200
45.135.235.172                               299.4ms    ORD    US     200
162.159.21.6                                 299.9ms    ORD    US     200
104.16.120.209                               300.1ms    DFW    US     200
31.43.179.112                                300.2ms    DFW    US     200
104.27.197.200                               301.0ms    ORD    US     200
162.159.245.136                              301.3ms    DFW    US     200
162.159.23.195                               301.5ms    DFW    US     200
104.21.228.111                               302.1ms    ORD    US     200
104.19.15.178                                302.3ms    ORD    US     200
185.135.9.173                                302.3ms    DFW    US     200
198.41.196.51                                302.8ms    ORD    US     200
